id,water_clarity,light_level,color,visibility_score,notes_fr,notes_en
90,muddy,bright,fluorescent_pink,10,"Très contrasté, choix safe en eau brouillée","High contrast, safe pick in dirty water"
91,muddy,overcast,white,10,Très bonne silhouette générale,Strong general silhouette
92,muddy,overcast,chartreuse,10,"Forte visibilité, idéal eaux teintées","High visibility, ideal in stained water"
93,muddy,overcast,black,4,Silhouette nette en basse lumière,Sharp silhouette in low light
94,muddy,overcast,red,3,Perd sa longueur donde rapidement avec la profondeur,Red wavelength absorbs fastest with depth
95,muddy,overcast,orange,9,Visible en eau teintée et ciel couvert,Visible in stained water and overcast skies
96,muddy,overcast,blue,2,Naturel en eau claire avec soleil franc,Most natural in clear water under direct sun
97,muddy,overcast,green,3,Imite algues et plancton en eau claire,Imitates algae and plankton in clear water
98,muddy,overcast,gold,9,"Reflète la lumière chaude, gagne en eau teintée","Reflects warm light, wins in stained water"
99,muddy,overcast,silver,3,Éclat maximal en eau claire et soleil,Maximum flash in clear water and bright sun
100,muddy,overcast,fluorescent_pink,10,"Très contrasté, choix safe en eau brouillée","High contrast, safe pick in dirty water"
101,muddy,dawn_dusk,white,9,Très bonne silhouette générale,Strong general silhouette
102,muddy,dawn_dusk,chartreuse,10,"Forte visibilité, idéal eaux teintées","High visibility, ideal in stained water"
103,muddy,dawn_dusk,black,6,Silhouette nette en basse lumière,Sharp silhouette in low light
104,muddy,dawn_dusk,red,2,Perd sa longueur donde rapidement avec la profondeur,Red wavelength absorbs fastest with depth
105,muddy,dawn_dusk,orange,8,Visible en eau teintée et ciel couvert,Visible in stained water and overcast skies
106,muddy,dawn_dusk,blue,2,Naturel en eau claire avec soleil franc,Most natural in clear water under direct sun
107,muddy,dawn_dusk,green,2,Imite algues et plancton en eau claire,Imitates algae and plankton in clear water
108,muddy,dawn_dusk,gold,8,"Reflète la lumière chaude, gagne en eau teintée","Reflects warm light, wins in stained water"
109,muddy,dawn_dusk,silver,2,Éclat maximal en eau claire et soleil,Maximum flash in clear water and bright sun
110,muddy,dawn_dusk,fluorescent_pink,9,"Très contrasté, choix safe en eau brouillée","High contrast, safe pick in dirty water"
111,muddy,night,white,7,Très bonne silhouette générale,Strong general silhouette
112,muddy,night,chartreuse,8,"Forte visibilité, idéal eaux teintées","High visibility, ideal in stained water"
113,muddy,night,black,9,Silhouette nette en basse lumière,Sharp silhouette in low light
114,muddy,night,red,1,Perd sa longueur donde rapidement avec la profondeur,Red wavelength absorbs fastest with depth
115,muddy,night,orange,6,Visible en eau teintée et ciel couvert,Visible in stained water and overcast skies
116,muddy,night,blue,1,Naturel en eau claire avec soleil franc,Most natural in clear water under direct sun
117,muddy,night,green,2,Imite algues et plancton en eau claire,Imitates algae and plankton in clear water
118,muddy,night,gold,6,"Reflète la lumière chaude, gagne en eau teintée","Reflects warm light, wins in stained water"
119,muddy,night,silver,2,Éclat maximal en eau claire et soleil,Maximum flash in clear water and bright sun
120,muddy,night,fluorescent_pink,7,"Très contrasté, choix safe en eau brouillée","High contrast, safe pick in dirty water"
